115;OGC Nizza;;;553;Freiburg;;;;;;
116;Olympique Lyon;;;554;Nurnberg;;;;;;
117;Olympique Marseille;;;555;Bochum;;;;;;
118;OSC Lille;;;556;M'gladbach;;;;;;
119;RC Lens;;;557;Mainz;;;;;;
120;SC Bastia;;;558;Wolfsburg;;;;;;
121;SM Caen;;;559;Hertha;;;;;;
122;Stade Reims;;;560;Werder Bremen;;;;;;
123;AC Ajaccio;;;561;Hoffenheim;;;;;;
124;AC Arles-Avignon;;;562;St Pauli;;;;;;
125;AC Le Havre;;;563;Kaiserslautern;;;;;;
126;AJ Auxerre;;;564;Augsburg;;;;;;
127;AS Nancy-Lorraine;;;565;Fortuna Dusseldorf;;;;;;
128;Clermont Foot Auvergne 63;;;566;Greuther Furth;;;;;;
129;ES Troyes AC;;;567;Braunschweig;;;;;;
130;FC Chamois Niort;;;568;Aachen;;;;;;
131;FC Sochaux-Montbéliard;;;569;Koblenz;;;;;;
132;FC Tours;;;570;Munich 1860;;;;;;
133;FC Valenciennes;;;571;Ahlen;;;;;;
134;FCO Dijon;;;572;Duisburg;;;;;;
135;GFC Ajaccio;;;573;Hansa Rostock;;;;;;
136;LB Châteauroux;;;574;Oberhausen;;;;;;
137;Olympique Nîmes;;;575;Paderborn;;;;;;
138;SCO Angers;;;576;Union Berlin;;;;;;
139;Stade Brest 29;;;577;Bielefeld;;;;;;
140;Stade Laval;;;578;Frankfurt FSV;;;;;;
141;US Créteil-Lusitanos;;;579;Karlsruhe;;;;;;
142;US Orléans;;;580;Cottbus;;;;;;
143;1.FC Köln;;;581;Erzgebirge Aue;;;;;;
144;1.FSV Mainz 05;;;582;Ingolstadt;;;;;;
145;Bayer 04 Leverkusen;;;583;Osnabruck;;;;;;
146;Borussia Dortmund;;;584;Dresden;;;;;;
147;Borussia Mönchengladbach;;;585;Aalen;;;;;;
148;Eintracht Frankfurt;;;586;Regensburg;;;;;;
149;FC Augsburg;;;587;Sandhausen;;;;;;
150;FC Bayern München;;;588;Milan;;;;;;
151;FC Schalke 04;;;589;Parma;;;;;;
152;Hamburger SV;;;590;Cagliari;;;;;;
153;Hannover 96;;;591;Chievo;;;;;;
154;Hertha BSC;;;592;Fiorentina;;;;;;
155;SC Freiburg;;;593;Livorno;;;;;;
156;SC Paderborn 07;;;594;Palermo;;;;;;
157;SV Werder Bremen;;;595;Roma;;;;;;
158;TSG 1899 Hoffenheim;;;596;Sampdoria;;;;;;
159;VfB Stuttgart;;;597;Siena;;;;;;
160;VfL Wolfsburg;;;598;Atalanta;;;;;;
161;1.FC Heidenheim 1846;;;599;Bari;;;;;;
162;1.FC Kaiserslautern;;;600;Catania;;;;;;
163;1.FC Nürnberg;;;601;Lazio;;;;;;
164;1.FC Union Berlin;;;602;Genoa;;;;;;
165;Eintracht Braunschweig;;;603;Inter;;;;;;
166;FC Erzgebirge Aue ;;;604;Udinese;;;;;;
167;FC Ingolstadt 04;;;605;Bologna;;;;;;
168;FC St. Pauli;;;606;Juventus;;;;;;
169;Fortuna Düsseldorf;;;607;Napoli;;;;;;
170;FSV Frankfurt;;;608;Cesena;;;;;;
171;Karlsruher SC;;;609;Brescia;;;;;;
172;RasenBallsport Leipzig;;;610;Lecce;;;;;;
173;SpVgg Greuther Fürth;;;611;Novara;;;;;;
174;SV Darmstadt 98;;;612;Torino;;;;;;
175;SV Sandhausen;;;613;Pescara;;;;;;
176;TSV 1860 München;;;614;Sassuolo;;;;;;
177;VfL Bochum;;;615;Verona;;;;;;
178;VfR Aalen;;;616;Crotone;;;;;;
179;1.FSV Mainz 05 II;;;617;Frosinone;;;;;;
180;Arminia Bielefeld;;;618;Modena;;;;;;
181;Borussia Dortmund II;;;619;Padova;;;;;;
182;Chemnitzer FC;;;620;Piacenza;;;;;;
183;Dynamo Dresden;;;621;Reggina;;;;;;
184;FC Energie Cottbus;;;622;Salernitana;;;;;;
185;FC Hansa Rostock;;;623;Ascoli;;;;;;
186;FC Rot-Weiß Erfurt;;;624;Empoli;;;;;;
187;Hallescher FC;;;625;Gallipoli;;;;;;
188;Holstein Kiel;;;626;Vicenza;;;;;;
189;MSV Duisburg;;;627;Mantova;;;;;;
190;SC Fortuna Köln;;;628;Cittadella;;;;;;
191;SC Preußen Münster ;;;629;Triestina;;;;;;
192;SG Sonnenhof Großaspach;;;630;Albinoleffe;;;;;;
193;SpVgg Unterhaching;;;631;Ancona;;;;;;
194;SSV Jahn Regensburg;;;632;Grosseto;;;;;;
195;Stuttgarter Kickers;;;633;Piacenza ;;;;;;
196;SV Wehen Wiesbaden;;;634;Varese;;;;;;
197;VfB Stuttgart II;;;635;Portogruaro;;;;;;
198;VfL Osnabrück;;;636;Juve Stabia;;;;;;
199;AC Cesena;;;637;Gubbio;;;;;;
200;AC Florenz;;;638;Nocerina;;;;;;
201;AC Mailand;;;639;Ternana;;;;;;
202;AS Rom;;;640;Virtus Lanciano;;;;;;
203;Atalanta Bergamo;;;641;Pro Vercelli;;;;;;
204;Cagliari Calcio;;;642;Spezia;;;;;;
205;Chievo Verona;;;643;Avellino;;;;;;
206;FC Empoli;;;644;Latina;;;;;;
207;FC Genua 1893;;;645;Trapani;;;;;;
208;FC Parma;;;646;Carpi;;;;;;
209;FC Turin;;;647;Heracles;;;;;;
